,UNITID_P,INSTNM,City,State,men_total15,women_total15,FORCIB13,NONFOR13,RAPE14,RAPE15,FONDL14,FONDL15,STATR14,STATR15,men_total14,women_total14,FORCIB12,NONFOR12,men_total13,women_total13,FORCIB11,NONFOR11,men_total12,women_total12,FORCIB10,NONFOR10,men_total11,women_total11,FORCIB9,NONFOR9,men_total10,women_total10,FORCIB8,NONFOR8,men_total9,women_total9,FORCIB7,NONFOR7,men_total8,women_total8,FORCIB6,NONFOR6,men_total7,women_total7,FORCIB5,NONFOR5,TITLE9
0,100654001.0,Alabama A & M University,NORMAL,AL,2409.0,3219.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2379.0,2954.0,2.0,0.0,2268.0,2752.0,2.0,0.0,2224.0,2629.0,4.0,0.0,2218.0,2704.0,5.0,2.0,2644.0,3170.0,1.0,0.0,2413.0,2914.0,0.0,0.0,2233.0,2891.0,1.0,0.0,2505.0,3201.0,4.0,0.0,
1,100663001.0,University of Alabama at Birmingham,BIRMINGHAM,AL,7185.0,11148.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,7410.0,11288.0,0.0,0.0,7309.0,11259.0,0.0,0.0,7163.0,10836.0,0.0,0.0,6979.0,10596.0,0.0,0.0,6981.0,10562.0,0.0,0.0,6814.0,10060.0,0.0,0.0,6431.0,9718.0,1.0,0.0,6480.0,9766.0,0.0,0.0,1.0
10,100760003.0,Central Alabama Community College,Talladega,AL,796.0,991.0,,,,,,,,,701.0,1025.0,,,738.0,1168.0,,,668.0,1353.0,,,856.0,1595.0,0.0,0.0,1270.0,2351.0,1.0,0.0,12590.0,12012.0,1.0,0.0,12525.0,12005.0,0.0,0.0,12256.0,11881.0,0.0,0.0,
100,102368007.0,Troy University,Columbus,GA,6743.0,11022.0,,,,,,,,,7093.0,11948.0,,,3892.0,5274.0,,,3879.0,5344.0,,,4042.0,5670.0,0.0,0.0,1190.0,2268.0,0.0,0.0,251.0,530.0,0.0,0.0,264.0,539.0,0.0,0.0,1018.0,1934.0,0.0,0.0,
1000,125718001.0,Westminster Theological Seminary in California,ESCONDIDO,CA,127.0,11.0,0.0,0.0,,,,,,,8864.0,10136.0,0.0,0.0,1838.0,3530.0,0.0,0.0,617.0,34.0,,,8785.0,11783.0,,,6408.0,8891.0,,,161.0,568.0,,,457.0,61.0,,,,,,,
10000,453817001.0,Ohio Technical College-PowerSport Institute,North Randall,OH,214.0,11.0,,,,,,,,,1092.0,1677.0,,,3.0,54.0,,,37.0,118.0,,,331.0,535.0,,,172.0,358.0,,,,,,,,,,,,,,,
10001,454184001.0,The King’s College,New York,NY,196.0,317.0,,,,0.0,,0.0,,0.0,1092.0,1677.0,,,12248.0,7937.0,,,5.0,118.0,,,331.0,535.0,,,114.0,190.0,,,,,,,,,,,,,,,
10002,454227001.0,Chamberlain College of Nursing-Illinois,Addison,IL,2251.0,20999.0,,,,,,,,,1092.0,1677.0,,,455.0,498.0,,,15.0,180.0,,,331.0,535.0,,,79.0,79.0,,,,,,,,,,,,,,,
10003,454227002.0,Chamberlain College of Nursing-Illinois,Chicago,IL,2251.0,20999.0,,,,,,,,,1092.0,1677.0,,,75.0,61.0,,,82.0,89.0,,,331.0,535.0,,,293.0,527.0,,,,,,,,,,,,,,,
10004,454227003.0,Chamberlain College of Nursing-Illinois,Tinley Park,IL,2251.0,20999.0,,,,,,,,,1092.0,1677.0,,,19.0,162.0,,,76.0,449.0,,,101.0,211.0,,,293.0,527.0,,,,,,,,,,,,,,,
10005,454236001.0,Chamberlain College of Nursing-Ohio,Columbus,OH,92.0,665.0,,,,,,,,,1092.0,1677.0,,,44.0,153.0,,,57.0,305.0,,,53.0,213.0,,,293.0,527.0,,,,,,,,,,,,,,,
10006,454236002.0,Chamberlain College of Nursing-Ohio,Cleveland,OH,92.0,665.0,,,,,,,,,1092.0,1677.0,,,27.0,119.0,,,67.0,345.0,,,85.0,287.0,,,293.0,527.0,,,,,,,,,,,,,,,
10007,454245001.0,Chamberlain College of Nursing-Arizona,Phoenix,AZ,101.0,532.0,,,,,,,,,1092.0,1677.0,,,56.0,222.0,,,13.0,187.0,,,69.0,208.0,,,4.0,158.0,,,,,,,,,,,,,,,
10008,454306001.0,Career Quest Learning Centers-Jackson,Jackson,MI,24.0,90.0,,,,,,,,,1092.0,1677.0,,,0.0,22.0,,,8.0,147.0,,,46.0,158.0,,,5.0,74.0,,,,,,,,,,,,,,,
10009,454458001.0,Bryan University,Rogers,AR,16.0,4.0,,,,,,,,,97.0,680.0,,,12.0,52.0,,,3.0,119.0,,,88.0,344.0,,,9.0,108.0,,,,,,,,,,,,,,,
1001,125727001.0,Westmont College,SANTA BARBARA,CA,508.0,789.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,30.0,59.0,6.0,0.0,928.0,1133.0,10.0,0.0,17498.0,14447.0,2.0,0.0,8785.0,11783.0,0.0,0.0,95.0,392.0,0.0,0.0,816.0,996.0,0.0,0.0,149.0,595.0,,,,,,,1.0
10010,454537001.0,The Salon Professional Academy-Appleton,Appleton,WI,4.0,47.0,,,,,,,,,323.0,41.0,,,4.0,64.0,,,90.0,132.0,,,0.0,77.0,,,6.0,118.0,,,,,,,,,,,,,,,
10011,454546001.0,Milan Institute of Cosmetology-Fairfield,Fairfield,CA,5.0,71.0,,,,,,,,,242.0,43.0,,,194.0,106.0,,,14.0,60.0,,,36.0,158.0,,,7.0,52.0,,,,,,,,,,,,,,,
10012,454555001.0,Milan Institute of Cosmetology-Reno,Reno,NV,10.0,159.0,,,,,,,,,42.0,274.0,,,18.0,59.0,,,5.0,93.0,,,66.0,32.0,,,5.0,141.0,,,,,,,,,,,,,,,
10013,454573001.0,Milan Institute of Cosmetology-Visalia,Visalia,CA,10.0,196.0,,,,,,,,,19.0,135.0,,,32.0,120.0,,,8.0,139.0,,,296.0,9.0,,,5.0,93.0,,,,,,,,,,,,,,,
10014,454607001.0,Paul Mitchell the School-Esani,Roswell,GA,13.0,235.0,,,,,,,,,104.0,236.0,,,235.0,587.0,,,5.0,50.0,,,11.0,12.0,,,139.0,406.0,,,,,,,,,,,,,,,
10015,454616001.0,Institute of Production and Recording,Minneapolis,MN,191.0,41.0,,,,,,,,,56.0,136.0,,,235.0,587.0,,,3.0,60.0,,,85.0,355.0,,,132.0,565.0,,,,,,,,,,,,,,,
10016,454625001.0,Virginia College-Greenville,Greenville,SC,32.0,257.0,,,,,,,,,36.0,109.0,,,12.0,107.0,,,8.0,109.0,,,195.0,270.0,1.0,0.0,65.0,305.0,,,,,,,,,,,,,,,
10017,454652001.0,Paul Mitchell the School-Birmingham,Hoover,AL,3.0,125.0,,,,,,,,,4.0,69.0,,,127.0,86.0,,,16.0,99.0,,,74.0,48.0,,,157.0,571.0,,,,,,,,,,,,,,,
10018,454689001.0,Taft University System,Santa Ana,CA,436.0,415.0,,,,,,,,,6.0,103.0,,,46.0,573.0,,,2.0,47.0,,,241.0,2460.0,,,11.0,112.0,,,,,,,,,,,,,,,
10019,454698001.0,Mayfield College,Cathedral City,CA,178.0,226.0,,,,,,,,,0.0,64.0,,,46.0,573.0,,,3.0,87.0,,,241.0,2460.0,,,124.0,123.0,,,,,,,,,,,,,,,
1002,125727002.0,Westmont College,San Francisco,CA,508.0,789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,306.0,0.0,0.0,121.0,726.0,0.0,0.0,1346.0,2571.0,0.0,0.0,8785.0,11783.0,,,3801.0,4142.0,,,816.0,996.0,,,149.0,595.0,,,14.0,0.0,,,1.0
10020,454722001.0,Academy of Esthetics and Cosmetology,san fernando,CA,23.0,27.0,,,,,,,,,5.0,60.0,,,46.0,573.0,,,2.0,49.0,,,70.0,540.0,,,186.0,508.0,,,,,,,,,,,,,,,
10021,454740001.0,International Professional School of Bodywork,San Diego,CA,36.0,108.0,,,,,,,,,1.0,49.0,,,34.0,632.0,,,2.0,85.0,,,64.0,342.0,,,184.0,626.0,,,,,,,,,,,,,,,
10022,454759001.0,Borner's Barber College,Los Angeles,CA,39.0,10.0,,,,,,,,,2.0,44.0,,,65.0,38.0,,,1.0,55.0,,,13.0,78.0,,,511.0,611.0,,,,,,,,,,,,,,,
10023,454759002.0,Borner's Barber College,Long Beach,CA,39.0,10.0,,,,,,,,,4.0,78.0,,,4.0,22.0,,,12640.0,7293.0,,,37.0,198.0,,,86.0,348.0,,,,,,,,,,,,,,,
10024,454768001.0,Paul Mitchell the School-Pasadena,Alhambra,CA,9.0,150.0,,,,,,,,,5.0,71.0,,,9.0,8.0,,,558.0,539.0,,,4.0,119.0,,,420.0,245.0,,,,,,,,,,,,,,,
10025,454777001.0,San Francisco Institute of Esthetics & Cosmetology Inc,San Francisco,CA,17.0,199.0,,,,,,,,,0.0,50.0,,,184.0,24.0,,,70.0,61.0,,,8.0,89.0,,,295.0,448.0,,,,,,,,,,,,,,,
10026,454786001.0,Laurus College,San Luis Obispo,CA,433.0,508.0,,,,,,,,,64.0,257.0,,,3.0,56.0,,,17.0,170.0,,,3.0,68.0,,,101.0,605.0,,,,,,,,,,,,,,,
10027,454795001.0,Healing Hands School of Holistic Health,Escondido,CA,58.0,200.0,,,,,,,,,224.0,391.0,,,0.0,25.0,,,35.0,129.0,,,2.0,109.0,,,292.0,649.0,,,,,,,,,,,,,,,
10028,454795002.0,Healing Hands School of Holistic Health,Laguna Hills,CA,58.0,200.0,,,,,,,,,4.0,21.0,,,42.0,135.0,,,40.0,79.0,,,6.0,122.0,,,786.0,428.0,,,,,,,,,,,,,,,
